Bulan;Tahun;Vol_transaksi
01/01/2015;2015;25563528
01/02/2015;2015;24186946
01/03/2015;2015;30515495
01/04/2015;2015;29665397
01/05/2015;2015;53703513
01/06/2015;2015;59724050
01/07/2015;2015;58746812
01/08/2015;2015;59853437
01/09/2015;2015;54125251
01/10/2015;2015;51133278
01/11/2015;2015;46755243
01/12/2015;2015;41606578
01/01/2016;2016;41300860
01/02/2016;2016;46579696
01/03/2016;2016;50700000
01/04/2016;2016;51016407
01/05/2016;2016;63883592
01/06/2016;2016;54614849
01/07/2016;2016;49653426
01/08/2016;2016;60520930
01/09/2016;2016;58023844
01/10/2016;2016;61294423
01/11/2016;2016;66316596
01/12/2016;2016;79228422
01/01/2017;2017;58435893
01/02/2017;2017;58573280
01/03/2017;2017;62985770
01/04/2017;2017;55631892
01/05/2017;2017;60620306
01/06/2017;2017;51969836
01/07/2017;2017;68685872
01/08/2017;2017;62565183
01/09/2017;2017;67553272
01/10/2017;2017;104478745
01/11/2017;2017;128518604
01/12/2017;2017;163041173
01/01/2018;2018;215446513
01/02/2018;2018;187132482
01/03/2018;2018;209336882
01/04/2018;2018;204108890
01/05/2018;2018;222927509
01/06/2018;2018;206888770
01/07/2018;2018;241397786
01/08/2018;2018;297466773
01/09/2018;2018;206809928
01/10/2018;2018;289792277
01/11/2018;2018;330671490
01/12/2018;2018;310719605
01/01/2019;2019;274687548
01/02/2019;2019;294101832
01/03/2019;2019;423743628
01/04/2019;2019;451650065
01/05/2019;2019;422602216
01/06/2019;2019;393695970
01/07/2019;2019;476037115
01/08/2019;2019;492317016
01/09/2019;2019;490218726
01/10/2019;2019;509716339
01/11/2019;2019;482734395
01/12/2019;2019;515195069
01/01/2020;2020;457944919
01/02/2020;2020;431467683
01/03/2020;2020;401008518
01/04/2020;2020;324878568
01/05/2020;2020;298187348
01/06/2020;2020;339894945
01/07/2020;2020;381575295
01/08/2020;2020;386709282
01/09/2020;2020;366785803
01/10/2020;2020;392881322
01/11/2020;2020;406322079
01/12/2020;2020;438047792
01/01/2021;2021;381705947
01/02/2021;2021;360064302
01/03/2021;2021;420510643
01/04/2021;2021;421606419
01/05/2021;2021;450414342
01/06/2021;2021;444336707
01/07/2021;2021;415258589
01/08/2021;2021;439015177
01/09/2021;2021;470906025
01/10/2021;2021;514266736
01/11/2021;2021;530022350
01/12/2021;2021;602293039
01/01/2022;2022;538106778
01/02/2022;2022;477718103
01/03/2022;2022;534338872
01/04/2022;2022;587339689
01/05/2022;2022;553587658
01/06/2022;2022;568257565
01/07/2022;2022;606961080
01/08/2022;2022;603692665
01/09/2022;2022;592742652
01/10/2022;2022;613963762
01/11/2022;2022;606300345
01/12/2022;2022;642768384
01/01/2023;2023;540877465
01/02/2023;2023;555163583
01/03/2023;2023;623388916
01/04/2023;2023;609057795
01/05/2023;2023;637371854
01/06/2023;2023;613144371
01/07/2023;2023;671628181
01/08/2023;2023;669776191
01/09/2023;2023;679611755
01/10/2023;2023;705515681
01/11/2023;2023;697565235
01/12/2023;2023;731126206
01/01/2024;2024;717924751
01/02/2024;2024;692841225
01/03/2024;2024;765338422
01/04/2024;2024;742344096
01/05/2024;2024;802116704
01/06/2024;2024;804872451
01/07/2024;2024;844574065
01/08/2024;2024;922440744
01/09/2024;2024;922699101
01/10/2024;2024;981576596
01/11/2024;2024;899334862
01/12/2024;2024;1289150329
01/01/2025;2025;1257736525
01/02/2025;2025;1247226477
01/03/2025;2025;1471882415
01/04/2025;2025;1409272570
01/05/2025;2025;1582602283
01/06/2025;2025;1600595879
01/07/2025;2025;1692165767
01/08/2025;2025;1751876265
01/09/2025;2025;1771781546
01/10/2025;2025;1928426701
01/11/2025;2025;1932280239
01/12/2025;2025;2041417797
